,0
0,Colorado
1,Connecticut
2,Delaware
3,Florida
4,Hawaii
5,Illinois
6,Kansas
7,Louisiana
8,Maryland
9,Massachusetts
10,Minnesota
11,Mississippi
12,Missouri
13,Montana
14,Nebraska
15,Nevada
16,New Hampshire
17,New Jersey
18,New Mexico
19,New York
20,Ohio
21,Oklahoma
22,Pennsylvania
23,Rhode Island
24,Tennessee
25,Utah
26,Vermont
27,Virginia
28,West Virginia
29,Wyoming
